[2026-05-27 16:20:49] [INFO] === KCDW 모니터링 시스템 기동 ===
[2026-05-27 16:20:49] [WARNING] 포트 8502를 점유 중인 서버 프로세스가 없습니다! (자동 복구 가동)
[2026-05-27 16:20:49] [INFO] 자체 서명 SSL 인증서가 존재하지 않아 자동 생성을 시작합니다...
[2026-05-27 16:20:49] [INFO] SSL 인증서(private.key / cert.crt) 자동 생성 완료
[2026-05-27 16:20:49] [INFO] Uvicorn HTTPS 서버를 포트 8502로 기동합니다...
[2026-05-27 16:20:49] [INFO] Uvicorn HTTPS 서버 백그라운드 기동 완료
[2026-05-27 16:40:28] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:40:38] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:40:48] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:40:58] [INFO] 실행 중 - PID: 30260, 프로세스명: python.exe, 메모리 점유: 238.88 MB
[2026-05-27 16:41:08] [WARNING] 포트 8502를 점유 중인 서버 프로세스가 없습니다! (자동 복구 가동)
[2026-05-27 16:41:08] [INFO] Uvicorn HTTPS 서버를 포트 8502로 기동합니다...
[2026-05-27 16:41:09] [INFO] Uvicorn HTTPS 서버 백그라운드 기동 완료
[2026-05-27 16:41:19] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:41:29] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:41:39] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:41:49] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:41:52] [INFO] === KCDW 모니터링 시스템 기동 ===
[2026-05-27 16:41:56] [WARNING] 헬스체크 실패 (서버 미응답): <urlopen error [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다>
[2026-05-27 16:41:56] [WARNING] 서버가 응답하지 않습니다. 기존 프로세스 정리 후 재시작합니다.
[2026-05-27 16:41:56] [ALERT] 기존 프로세스(PID: 0) 종료 시도...
[2026-05-27 16:41:59] [INFO] Uvicorn HTTP 서버를 포트 8502로 기동합니다...
[2026-05-27 16:41:59] [INFO] Uvicorn HTTP 서버 백그라운드 기동 완료
[2026-05-27 16:41:59] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:42:10] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:42:10] [INFO] 실행 중 - PID: 51456, 프로세스명: python.exe, 메모리 점유: 201.60 MB
[2026-05-27 16:42:11] [INFO] 헬스체크 정상 - PID: 51456, 메모리: 202.02 MB, 가동: 0시간 0분 12초
[2026-05-27 16:42:20] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:42:20] [INFO] 실행 중 - PID: 51456, 프로세스명: python.exe, 메모리 점유: 203.21 MB
[2026-05-27 16:42:23] [INFO] 헬스체크 정상 - PID: 51456, 메모리: 203.66 MB, 가동: 0시간 0분 24초
[2026-05-27 16:42:30] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:42:30] [INFO] 실행 중 - PID: 51456, 프로세스명: python.exe, 메모리 점유: 204.50 MB
[2026-05-27 16:42:35] [INFO] 헬스체크 정상 - PID: 51456, 메모리: 205.36 MB, 가동: 0시간 0분 36초
[2026-05-27 16:42:40] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:42:40] [INFO] 실행 중 - PID: 51456, 프로세스명: python.exe, 메모리 점유: 204.26 MB
[2026-05-27 16:42:47] [INFO] 헬스체크 정상 - PID: 51456, 메모리: 204.26 MB, 가동: 0시간 0분 48초
[2026-05-27 16:42:50] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:42:50] [INFO] 실행 중 - PID: 51456, 프로세스명: python.exe, 메모리 점유: 204.26 MB
[2026-05-27 16:43:00] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:43:11] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:43:21] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:43:31] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:43:41] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:43:51] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:44:01] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:44:12] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:44:22] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:44:32] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:44:42] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:44:52] [WARNING] 포트 8502를 점유 중인 서버 프로세스가 없습니다! (자동 복구 가동)
[2026-05-27 16:44:52] [INFO] 자체 서명 SSL 인증서가 존재하지 않아 자동 생성을 시작합니다...
[2026-05-27 16:44:52] [INFO] SSL 인증서(private.key / cert.crt) 자동 생성 완료
[2026-05-27 16:44:52] [INFO] Uvicorn HTTPS 서버를 포트 8502로 기동합니다...
[2026-05-27 16:44:52] [INFO] Uvicorn HTTPS 서버 백그라운드 기동 완료
[2026-05-27 16:45:03] [WARNING] 포트 8502를 점유 중인 서버 프로세스가 없습니다! (자동 복구 가동)
[2026-05-27 16:45:03] [INFO] Uvicorn HTTPS 서버를 포트 8502로 기동합니다...
[2026-05-27 16:45:03] [INFO] Uvicorn HTTPS 서버 백그라운드 기동 완료
[2026-05-27 16:45:13] [WARNING] 포트 8502를 점유 중인 서버 프로세스가 없습니다! (자동 복구 가동)
[2026-05-27 16:45:13] [INFO] Uvicorn HTTPS 서버를 포트 8502로 기동합니다...
[2026-05-27 16:45:13] [INFO] Uvicorn HTTPS 서버 백그라운드 기동 완료
[2026-05-27 16:45:23] [WARNING] 포트 8502를 점유 중인 서버 프로세스가 없습니다! (자동 복구 가동)
[2026-05-27 16:45:23] [INFO] Uvicorn HTTPS 서버를 포트 8502로 기동합니다...
[2026-05-27 16:45:23] [INFO] Uvicorn HTTPS 서버 백그라운드 기동 완료
[2026-05-27 16:45:33] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:45:33] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.47 MB
[2026-05-27 16:45:43] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:45:43] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.48 MB
[2026-05-27 16:45:54] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:45:54] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.50 MB
[2026-05-27 16:46:04] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:46:04] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.52 MB
[2026-05-27 16:46:14] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:46:14] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.54 MB
[2026-05-27 16:46:24] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:46:24] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.49 MB
[2026-05-27 16:46:35] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:46:35] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.50 MB
[2026-05-27 16:46:45] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:46:45] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.52 MB
[2026-05-27 16:46:55] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:46:55] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.54 MB
[2026-05-27 16:47:06] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:47:06] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.55 MB
[2026-05-27 16:47:16] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:47:16] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.57 MB
[2026-05-27 16:47:26] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:47:26] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.59 MB
[2026-05-27 16:47:36] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:47:36] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.59 MB
[2026-05-27 16:47:47] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:47:47] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.61 MB
[2026-05-27 16:47:57] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:47:57] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.62 MB
[2026-05-27 16:48:07] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:48:07] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.62 MB
[2026-05-27 16:48:17] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:48:17] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.62 MB
[2026-05-27 16:48:28] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:48:28] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.62 MB
[2026-05-27 16:48:38] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:48:38] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.62 MB
[2026-05-27 16:48:49] [INFO] 실행 중 - PID: 0, 프로세스명: System Idle Process, 메모리 점유: 0.01 MB
[2026-05-27 16:48:49] [INFO] 실행 중 - PID: 22600, 프로세스명: python.exe, 메모리 점유: 203.62 MB
